Timestamp,SampleNr,AccX [mg],AccY [mg],AccZ [mg],GyrX [rad/s],GyrY [rad/s],GyrZ [rad/s],MagX [mGs],MagY [mGs],-MagZ [mGs],Battery [mV],Temperature [0.1C],Pressure[Pa]
12:55:1.851,7989,-114.2578125,461.9140625,-895.5078125,-0.07330382858376185,-0.07696902001294993,-0.0317649923862968,-1807,-1580,-918,3832,313,100642
12:55:1.871,7990,-111.328125,458.0078125,-889.6484375,-0.07208209810736582,-0.06963863715457375,-0.0317649923862968,-1807,-1580,-918,3832,313,100642
12:55:1.892,7991,-119.140625,459.9609375,-882.8125,-0.06963863715457375,-0.0989601685880785,-0.024434609527920613,-1807,-1580,-918,3842,313,100646
12:55:1.983,7992,-115.234375,453.125,-883.7890625,-0.08918632477691024,-0.08429940287132612,-0.03054326190990077,-1800,-1576,-921,3842,313,100646
12:55:2.4,7993,-122.0703125,456.0546875,-876.953125,-0.09285151620609834,-0.08552113334772216,-0.01832595714594046,-1800,-1576,-921,3842,313,100646
12:55:2.14,7994,-123.046875,465.8203125,-864.2578125,-0.08918632477691024,-0.07208209810736582,-0.013439035240356337,-1800,-1576,-921,3842,313,100646
12:55:2.35,7995,-118.1640625,466.796875,-862.3046875,-0.06841690667817772,-0.0671951762017817,-0.0024434609527920616,-1800,-1576,-921,3842,313,100646
12:55:2.55,7996,-106.4453125,461.9140625,-860.3515625,-0.06963863715457375,-0.05497787143782139,-0.013439035240356337,-1800,-1576,-921,3842,313,100646
12:55:2.76,7997,-122.0703125,454.1015625,-861.328125,-0.09162978572970232,-0.04642575810304917,-0.0317649923862968,-1808,-1575,-920,3842,313,100646
12:55:2.96,7998,-112.3046875,456.0546875,-879.8828125,-0.12461650859239513,-0.03787364476827696,-0.05742133239061345,-1808,-1575,-920,3842,313,100646
12:55:2.106,7999,-123.046875,456.0546875,-877.9296875,-0.11239920382843484,-0.04031710572106901,-0.05375614096142535,-1808,-1575,-920,3842,313,100646
12:55:2.127,8000,-115.234375,459.9609375,-874.0234375,-0.07819075048934597,-0.04520402762665313,-0.05619960191421742,-1808,-1575,-920,3842,313,100646
12:55:2.147,8001,-112.3046875,455.078125,-877.9296875,-0.06475171524898964,-0.04398229715025711,-0.03543018381548489,-1808,-1575,-920,3842,313,100646
12:55:2.177,8002,-115.234375,453.125,-876.953125,-0.06475171524898964,-0.04642575810304917,-0.03054326190990077,-1810,-1577,-917,3842,313,100646
12:55:2.198,8003,-111.328125,457.03125,-877.9296875,-0.08429940287132612,-0.039095375244672985,-0.023212879051524585,-1810,-1577,-917,3842,313,100646
12:55:2.218,8004,-104.4921875,455.078125,-881.8359375,-0.1075122819228507,-0.039095375244672985,-0.03298672286269283,-1810,-1577,-917,3842,313,100646
12:55:2.239,8005,-114.2578125,457.03125,-892.578125,-0.09651670763528641,-0.03543018381548489,-0.03420845333908886,-1810,-1577,-917,3842,313,100646
12:55:2.259,8006,-115.234375,454.1015625,-903.3203125,-0.08185594191853407,-0.05009094953223726,-0.024434609527920613,-1806,-1574,-926,3842,313,100646
12:55:2.269,8007,-102.5390625,451.171875,-901.3671875,-0.09407324668249437,-0.05619960191421742,-0.009773843811168246,-1806,-1574,-926,3842,313,100646
12:55:2.290,8008,-108.3984375,460.9375,-898.4375,-0.09407324668249437,-0.07330382858376185,-0.009773843811168246,-1806,-1574,-926,3842,313,100646
12:55:2.310,8009,-111.328125,463.8671875,-897.4609375,-0.06108652381980154,-0.07330382858376185,-0.012217304763960306,-1806,-1574,-926,3842,313,100646
12:55:2.331,8010,-114.2578125,458.984375,-898.4375,-0.05986479334340551,-0.08063421144213802,-0.013439035240356337,-1806,-1574,-926,3842,313,100646
12:55:2.341,8011,-108.3984375,456.0546875,-891.6015625,-0.07941248096574201,-0.08063421144213802,-0.006108652381980153,-1801,-1574,-906,3842,313,100646
12:55:2.361,8012,-110.3515625,461.9140625,-880.859375,-0.10262536001726659,-0.09773843811168245,-0.009773843811168246,-1801,-1574,-906,3842,313,100646
12:55:2.382,8013,-116.2109375,466.796875,-873.046875,-0.08429940287132612,-0.0952949771588904,-0.024434609527920613,-1801,-1574,-906,3842,313,100646
12:55:2.403,8014,-102.5390625,471.6796875,-857.421875,-0.07086036763096978,-0.09040805525330627,-0.012217304763960306,-1801,-1574,-906,3842,313,100646
12:55:2.423,8015,-115.234375,453.125,-855.46875,-0.05009094953223726,-0.07696902001294993,-0.019547687622336492,-1801,-1574,-906,3842,313,100646
12:55:2.434,8016,-122.0703125,452.1484375,-858.3984375,-0.11850785621041499,-0.07208209810736582,-0.03787364476827696,-1802,-1573,-914,3842,313,100646
12:55:2.454,8017,-110.3515625,465.8203125,-862.3046875,-0.11972958668681102,-0.052534410485029326,-0.023212879051524585,-1802,-1573,-914,3842,313,100646
12:55:2.475,8018,-111.328125,468.75,-864.2578125,-0.06108652381980154,-0.0476474885794452,-0.01832595714594046,-1802,-1573,-914,3842,313,100646
12:55:2.495,8019,-111.328125,448.2421875,-865.234375,-0.06475171524898964,-0.04642575810304917,-0.03787364476827696,-1802,-1573,-914,3842,313,100646
12:55:2.505,8020,-111.328125,458.0078125,-881.8359375,-0.1233947781159991,-0.05375614096142535,-0.048869219055841226,-1800,-1574,-904,3842,313,100646
12:55:2.526,8021,-110.3515625,475.5859375,-887.6953125,-0.0952949771588904,-0.04642575810304917,-0.0476474885794452,-1800,-1574,-904,3842,313,100646
12:55:2.546,8022,-106.4453125,463.8671875,-883.7890625,-0.0317649923862968,-0.04642575810304917,-0.024434609527920613,-1800,-1574,-904,3842,313,100646
12:55:2.567,8023,-106.4453125,449.21875,-895.5078125,-0.048869219055841226,-0.05742133239061345,-0.021991148575128554,-1800,-1574,-904,3842,313,100646
12:55:2.588,8024,-108.3984375,463.8671875,-912.109375,-0.08918632477691024,-0.0671951762017817,-0.0158824961931484,-1800,-1574,-904,3842,313,100646
12:55:2.598,8025,-104.4921875,469.7265625,-903.3203125,-0.0830776723949301,-0.07330382858376185,-0.012217304763960306,-1804,-1569,-927,3842,313,100646
12:55:2.618,8026,-107.421875,478.515625,-894.53125,-0.09040805525330627,-0.08063421144213802,-0.025656340004316647,-1804,-1569,-927,3842,313,100646
12:55:2.639,8027,-105.46875,476.5625,-889.6484375,-0.05742133239061345,-0.11239920382843484,-0.025656340004316647,-1804,-1569,-927,3842,313,100646
12:55:2.659,8028,-100.5859375,467.7734375,-878.90625,-0.04398229715025711,-0.08918632477691024,-0.02809980095710871,-1804,-1569,-927,3842,313,100646
12:55:2.670,8029,-98.6328125,465.8203125,-859.375,-0.06841690667817772,-0.09285151620609834,-0.03420845333908886,-1804,-1569,-927,3842,313,100646
12:55:2.690,8030,-102.5390625,447.265625,-856.4453125,-0.1148426647812269,-0.07452555906015788,-0.058643062867009474,-1805,-1572,-926,3842,313,100646
12:55:2.711,8031,-123.046875,446.2890625,-849.609375,-0.11850785621041499,-0.07330382858376185,-0.06597344572538566,-1805,-1572,-926,3842,313,100646
12:55:2.731,8032,-116.2109375,457.03125,-852.5390625,-0.06963863715457375,-0.05986479334340551,-0.04031710572106901,-1805,-1572,-926,3842,313,100646
12:55:2.741,8033,-105.46875,433.59375,-847.65625,-0.03543018381548489,-0.048869219055841226,-0.03665191429188092,-1805,-1572,-926,3842,313,100646
12:55:2.762,8034,-102.5390625,429.6875,-848.6328125,-0.05986479334340551,-0.03787364476827696,-0.01832595714594046,-1802,-1571,-915,3842,313,100646
12:55:2.782,8035,-117.1875,441.40625,-835.9375,-0.0989601685880785,-0.03298672286269283,-0.023212879051524585,-1802,-1571,-915,3842,313,100646
12:55:2.802,8036,-101.5625,436.5234375,-837.890625,-0.05986479334340551,-0.003665191429188092,-0.010995574287564277,-1802,-1571,-915,3842,313,100646
12:55:2.823,8037,-98.6328125,407.2265625,-810.546875,-0.06597344572538566,0.019547687622336492,-0.024434609527920613,-1802,-1571,-915,3842,313,100646
12:55:2.833,8038,-118.1640625,408.203125,-812.5,-0.1038470904936626,0.03420845333908886,-0.020769418098732523,-1802,-1571,-915,3842,313,100646
12:55:2.853,8039,-94.7265625,403.3203125,-819.3359375,-0.09040805525330627,0.06230825429619757,0.020769418098732523,-1799,-1572,-916,3842,313,100646
12:55:2.874,8040,-80.078125,384.765625,-820.3125,-0.04398229715025711,0.09040805525330627,0.05009094953223726,-1799,-1572,-916,3842,313,100646
12:55:2.894,8041,-98.6328125,353.515625,-800.78125,-0.13316862192716736,0.09285151620609834,0.052534410485029326,-1799,-1572,-916,3836,313,100643
12:55:2.915,8042,-99.609375,378.90625,-813.4765625,-0.20647245051092922,0.12828170002158323,0.07941248096574201,-1799,-1572,-916,3836,313,100643
12:55:2.925,8043,-92.7734375,425.78125,-840.8203125,-0.10629055144645469,0.18814649336498873,0.16004669240788005,-1799,-1572,-916,3836,313,100643
12:55:2.965,8044,-72.265625,434.5703125,-805.6640625,0.12095131716320705,0.20891591146372127,0.2211332162276816,-1795,-1569,-911,3836,313,100643
12:55:2.986,8045,-74.21875,397.4609375,-789.0625,0.10629055144645469,0.2211332162276816,0.2309070600388498,-1795,-1569,-911,3836,313,100643
12:55:2.996,8046,-47.8515625,456.0546875,-815.4296875,0.0012217304763960308,0.22846359908605776,0.2296853295624538,-1795,-1569,-911,3836,313,100643
12:55:3.16,8047,-47.8515625,486.328125,-806.640625,0.048869219055841226,0.2724458962363148,0.2235766771804736,-1795,-1569,-911,3836,313,100643
12:55:3.36,8048,-41.9921875,452.1484375,-784.1796875,0.1466076571675237,0.3262020371977402,0.1869247628885927,-1795,-1569,-911,3836,313,100643
12:55:3.57,8049,-33.203125,419.921875,-755.859375,0.12461650859239513,0.3469714552964728,0.14416419621473164,-1782,-1576,-907,3836,313,100643
12:55:3.78,8050,-18.5546875,427.734375,-769.53125,0.09285151620609834,0.3824016391119576,0.15149457907310784,-1782,-1576,-907,3836,313,100643
12:55:3.88,8051,-18.5546875,420.8984375,-777.34375,0.12950343049797927,0.4459316238845512,0.16371188383706814,-1782,-1576,-907,3836,313,100643
12:55:3.109,8052,-0.0,415.0390625,-771.484375,0.16737707526625623,0.4825835381764321,0.13316862192716736,-1782,-1576,-907,3836,313,100643
12:55:3.129,8053,21.484375,363.28125,-767.578125,0.1356120828799594,0.5314527572322734,0.1233947781159991,-1767,-1581,-904,3836,313,100643
12:55:3.150,8054,29.296875,365.234375,-721.6796875,-0.026878070480712675,0.5705481324769464,0.13316862192716736,-1767,-1581,-904,3836,313,100643
12:55:3.160,8055,30.2734375,464.84375,-791.9921875,-0.058643062867009474,0.6304129258203519,0.1954768762233649,-1767,-1581,-904,3836,313,100643
12:55:3.180,8056,63.4765625,455.078125,-791.015625,0.1869247628885927,0.6951646410693415,0.2211332162276816,-1767,-1581,-904,3836,313,100643
12:55:3.200,8057,89.84375,386.71875,-750.9765625,0.2907718533822553,0.7464773210779747,0.18448130193580062,-1767,-1581,-904,3836,313,100643
12:55:3.241,8058,121.09375,357.421875,-749.0234375,0.11606439525762292,0.7611380867947273,0.1942551457469689,-1740,-1581,-898,3836,313,100643
12:55:3.252,8059,133.7890625,376.953125,-737.3046875,-0.026878070480712675,0.8307767239493008,0.2186897552748895,-1740,-1581,-898,3836,313,100643
12:55:3.272,8060,156.25,381.8359375,-760.7421875,0.013439035240356337,0.9040805525330627,0.2113593724165133,-1740,-1581,-898,3836,313,100643
12:55:3.293,8061,196.2890625,370.1171875,-766.6015625,0.07086036763096978,0.9871582249279928,0.2211332162276816,-1740,-1581,-898,3836,313,100643
12:55:3.313,8062,210.9375,436.5234375,-811.5234375,0.19303341527057283,1.0152580258851016,0.2858849314766712,-1740,-1581,-898,3836,313,100643
12:55:3.333,8063,223.6328125,383.7890625,-842.7734375,0.4593706591249076,1.0787880106576953,0.33475415053251245,-1705,-1594,-902,3836,313,100643
12:55:3.344,8064,268.5546875,298.828125,-787.109375,0.4434881629317592,1.073901088752111,0.2736676267127109,-1705,-1594,-902,3836,313,100643
12:55:3.385,8065,316.40625,364.2578125,-816.40625,0.1343903524035634,1.0543534011297746,0.2883283924294633,-1705,-1594,-902,3836,313,100643
12:55:3.405,8066,322.265625,439.453125,-868.1640625,0.2724458962363148,1.11421819447318,0.3127630019573839,-1705,-1594,-902,3836,313,100643
12:55:3.415,8067,321.2890625,333.0078125,-879.8828125,0.5766567848589266,1.1801916401985657,0.26389378290154264,-1653,-1608,-886,3836,313,100643
12:55:3.436,8068,387.6953125,250.9765625,-794.921875,0.4972443038931845,1.1557570306706453,0.1893682238413848,-1653,-1608,-886,3836,313,100643
12:55:3.456,8069,416.015625,273.4375,-789.0625,0.0989601685880785,1.1178833859023682,0.20891591146372127,-1653,-1608,-886,3836,313,100643
12:55:3.476,8070,419.921875,357.421875,-846.6796875,0.07696902001294993,1.1801916401985657,0.23335052099164189,-1653,-1608,-886,3836,313,100643
12:55:3.497,8071,418.9453125,373.046875,-882.8125,0.3787364476827696,1.227839128778011,0.2211332162276816,-1653,-1608,-886,3836,313,100643
12:55:3.507,8072,458.984375,275.390625,-808.59375,0.5998696639104512,1.2461650859239515,0.19669860669976097,-1608,-1625,-892,3836,313,100643
12:55:3.527,8073,524.4140625,181.640625,-740.234375,0.38606683054114566,1.2131783630612585,0.17959438003021652,-1608,-1625,-892,3836,313,100643
12:55:3.548,8074,517.578125,204.1015625,-786.1328125,0.07819075048934597,1.2119566325848627,0.1942551457469689,-1608,-1625,-892,3836,313,100643
12:55:3.568,8075,488.28125,364.2578125,-875.0,0.03787364476827696,1.2767083478338521,0.238237442897226,-1608,-1625,-892,3836,313,100643
12:55:3.588,8076,534.1796875,372.0703125,-897.4609375,0.4288273972150068,1.3695598640399507,0.2687807048071268,-1608,-1625,-892,3836,313,100643
12:55:3.598,8077,624.0234375,251.953125,-833.984375,0.8075638448977764,1.3744467859455347,0.2076941809873252,-1556,-1636,-913,3836,313,100643
12:55:3.619,8078,711.9140625,236.328125,-763.671875,0.6243042734383717,1.3096950706965451,0.1734857276482364,-1556,-1636,-913,3836,313,100643
12:55:3.660,8079,690.4296875,277.34375,-818.359375,0.3298672286269283,1.2473868164003474,0.16859880574265224,-1556,-1636,-913,3836,313,100643
12:55:3.670,8080,635.7421875,286.1328125,-846.6796875,0.2345722514680379,1.2534954687823276,0.1466076571675237,-1556,-1636,-913,3836,313,100643
12:55:3.691,8081,662.109375,241.2109375,-813.4765625,0.3042108886226117,1.2779300783102483,0.01832595714594046,-1503,-1660,-927,3836,313,100643
12:55:3.711,8082,730.46875,165.0390625,-790.0390625,0.18325957145940464,1.2510520078295355,-0.019547687622336492,-1503,-1660,-927,3836,313,100643
12:55:3.732,8083,768.5546875,173.828125,-707.03125,-0.16737707526625623,1.1887437535333378,0.03787364476827696,-1503,-1660,-927,3836,313,100643
12:55:3.752,8084,758.7890625,222.65625,-693.359375,-0.5216789134211052,1.145983186859477,0.10140362954087055,-1503,-1660,-927,3836,313,100643
12:55:3.763,8085,710.9375,213.8671875,-705.078125,-0.7122688677388859,1.1875220230569419,0.09285151620609834,-1503,-1660,-927,3836,313,100643
12:55:3.803,8086,736.328125,211.9140625,-655.2734375,-0.7819075048934596,1.231504320207199,0.08063421144213802,-1450,-1670,-954,3836,313,100643
12:55:3.824,8087,755.859375,252.9296875,-630.859375,-0.7391469382195985,1.2498302773531396,0.1343903524035634,-1450,-1670,-954,3836,313,100643
12:55:3.834,8088,786.1328125,260.7421875,-708.984375,-0.5338962181850655,1.2412781640183672,0.2150245638457014,-1450,-1670,-954,3836,313,100643
12:55:3.854,8089,794.921875,223.6328125,-654.296875,-0.5009094953223726,1.2168435544904468,0.33719761148530447,-1450,-1670,-954,3836,313,100643
12:55:3.874,8090,844.7265625,254.8828125,-642.578125,-0.5351179486614615,1.194852405915318,0.4459316238845512,-1450,-1670,-954,3836,313,100643
12:55:3.895,8091,893.5546875,288.0859375,-617.1875,-0.49113565151120436,1.1777481792457736,0.5119050696099369,-1408,-1658,-975,3832,313,100645
12:55:3.915,8092,926.7578125,293.9453125,-596.6796875,-0.35430183815484895,1.1765264487693778,0.5351179486614615,-1408,-1658,-975,3832,313,100645
12:55:3.925,8093,942.3828125,290.0390625,-620.1171875,-0.08429940287132612,1.1753047182929817,0.4838052686528282,-1408,-1658,-975,3832,313,100645
12:55:3.946,8094,959.9609375,287.109375,-603.515625,0.0952949771588904,1.1716395268637936,0.4312708581677988,-1408,-1658,-975,3832,313,100645
12:55:3.966,8095,965.8203125,267.578125,-558.59375,0.20647245051092922,1.154535300194249,0.3775147172063735,-1368,-1655,-1016,3832,313,100645
12:55:3.986,8096,965.8203125,258.7890625,-541.9921875,0.2736676267127109,1.1313224211427244,0.3103195410045918,-1368,-1655,-1016,3832,313,100645
12:55:4.7,8097,954.1015625,250.9765625,-538.0859375,0.35918876006043304,1.1105530030439918,0.14905111812031577,-1368,-1655,-1016,3832,313,100645
12:55:4.17,8098,948.2421875,220.703125,-506.8359375,0.3677408733952052,1.1178833859023682,0.03787364476827696,-1368,-1655,-1016,3832,313,100645
12:55:4.37,8099,957.03125,195.3125,-496.09375,0.3530801076784529,1.0922270458980516,-0.021991148575128554,-1368,-1655,-1016,3832,313,100645
12:55:4.78,8100,976.5625,190.4296875,-501.953125,0.3799581781591656,1.0885618544688633,-0.07208209810736582,-1335,-1671,-1032,3832,313,100645
12:55:4.88,8101,985.3515625,150.390625,-459.9609375,0.3066543495754037,1.070235897322923,-0.08552113334772216,-1335,-1671,-1032,3832,313,100645
12:55:4.109,8102,996.09375,158.203125,-430.6640625,0.16126842288427604,1.0201449477906857,-0.05619960191421742,-1335,-1671,-1032,3832,313,100645
12:55:4.129,8103,999.0234375,175.78125,-387.6953125,0.06108652381980154,0.994488607786369,-0.01832595714594046,-1335,-1671,-1032,3832,313,100645
12:55:4.149,8104,1030.2734375,207.03125,-425.78125,0.1038470904936626,0.990823416357181,-0.03298672286269283,-1335,-1671,-1032,3832,313,100645
12:55:4.170,8105,1023.4375,172.8515625,-409.1796875,0.2467895562319982,1.0005972601683493,-0.09651670763528641,-1301,-1681,-1082,3832,313,100645
12:55:4.180,8106,1015.625,126.953125,-378.90625,0.2223549467040776,0.993266877309973,-0.12583823906879116,-1301,-1681,-1082,3832,313,100645
12:55:4.221,8107,1007.8125,110.3515625,-360.3515625,0.03054326190990077,0.9627236154000722,-0.09651670763528641,-1301,-1681,-1082,3832,313,100645
12:55:4.241,8108,1005.859375,188.4765625,-354.4921875,-0.1905899543177808,0.9004153611038747,-0.05009094953223726,-1301,-1681,-1082,3832,313,100645
12:55:4.252,8109,1004.8828125,215.8203125,-320.3125,-0.23212879051524585,0.8552113334772216,-0.024434609527920613,-1282,-1686,-1129,3832,313,100645
12:55:4.272,8110,995.1171875,184.5703125,-302.734375,-0.1356120828799594,0.8417722982368653,-0.048869219055841226,-1282,-1686,-1129,3832,313,100645
12:55:4.292,8111,996.09375,155.2734375,-294.921875,-0.10262536001726659,0.8442157591896573,-0.013439035240356337,-1282,-1686,-1129,3832,313,100645
12:55:4.313,8112,1009.765625,180.6640625,-302.734375,-0.04276056667386108,0.8161159582325487,0.04398229715025711,-1282,-1686,-1129,3832,313,100645
12:55:4.333,8113,1055.6640625,162.109375,-302.734375,-0.05986479334340551,0.7623598172711232,0.1075122819228507,-1282,-1686,-1129,3832,313,100645
12:55:4.363,8114,1073.2421875,130.859375,-277.34375,-0.22602013813326569,0.676838683923401,0.1343903524035634,-1258,-1682,-1163,3832,313,100645
12:55:4.384,8115,1054.6875,145.5078125,-270.5078125,-0.45204027626653137,0.5962044724812631,0.12950343049797927,-1258,-1682,-1163,3832,313,100645
12:55:4.404,8116,1024.4140625,206.0546875,-278.3203125,-0.5424483315198376,0.5277875658030853,0.13805554383275148,-1258,-1682,-1163,3832,313,100645
12:55:4.424,8117,1011.71875,266.6015625,-264.6484375,-0.2858849314766712,0.5057964172279568,0.10506882097005865,-1258,-1682,-1163,3832,313,100645
12:55:4.435,8118,1011.71875,269.53125,-258.7890625,0.07330382858376185,0.4862487296056202,0.05742133239061345,-1258,-1682,-1163,3832,313,100645
12:55:4.455,8119,1022.4609375,223.6328125,-233.3984375,0.2748893571891069,0.437379510549779,-0.0024434609527920616,-1249,-1687,-1197,3832,313,100645
12:55:4.475,8120,1023.4375,184.5703125,-219.7265625,0.26267205242514663,0.3885102914939378,-0.07330382858376185,-1249,-1687,-1197,3832,313,100645
12:55:4.495,8121,1006.8359375,162.109375,-205.078125,0.1233947781159991,0.3286454981505323,-0.1478293876439197,-1249,-1687,-1197,3832,313,100645
12:55:4.516,8122,993.1640625,189.453125,-206.0546875,0.0867428638241182,0.3262020371977402,-0.19181168479417682,-1249,-1687,-1197,3832,313,100645
12:55:4.526,8123,984.375,255.859375,-193.359375,0.2553416695667704,0.31887165433936404,-0.20158552860534507,-1249,-1687,-1197,3832,313,100645
12:55:4.546,8124,978.515625,262.6953125,-175.78125,0.5913175505756788,0.31887165433936404,-0.20158552860534507,-1241,-1690,-1199,3832,313,100645
12:55:4.567,8125,983.3984375,217.7734375,-162.109375,1.0091493735031216,0.3274237676741363,-0.21258110289290938,-1241,-1690,-1199,3832,313,100645
12:55:4.587,8126,1000.9765625,184.5703125,-165.0390625,1.1887437535333378,0.3029891581462157,-0.197920337176157,-1241,-1690,-1199,3832,313,100645
12:55:4.598,8127,1044.921875,137.6953125,-177.734375,1.1863002925805461,0.2467895562319982,-0.16982053621904827,-1241,-1690,-1199,3832,313,100645
12:55:4.639,8128,1070.3125,41.9921875,-127.9296875,0.8784242125287461,0.15638150097869194,-0.17470745812463243,-1236,-1689,-1224,3832,313,100645
12:55:4.659,8129,1059.5703125,39.0625,-100.5859375,0.13194689145077132,-0.004886921905584123,-0.14172073526193957,-1236,-1689,-1224,3832,313,100645
12:55:4.679,8130,1033.203125,106.4453125,-110.3515625,-0.3066543495754037,-0.05009094953223726,-0.1478293876439197,-1236,-1689,-1224,3832,313,100645
12:55:4.690,8131,1007.8125,167.96875,-119.140625,-0.37507125625358145,-0.05742133239061345,-0.16982053621904827,-1236,-1689,-1224,3832,313,100645
12:55:4.710,8132,987.3046875,206.0546875,-103.515625,-0.1343903524035634,-0.0317649923862968,-0.1661553447898602,-1236,-1689,-1224,3832,313,100645
12:55:4.731,8133,990.234375,192.3828125,-99.609375,0.23945917337362205,-0.007330382858376184,-0.1661553447898602,-1237,-1686,-1230,3832,313,100645
12:55:4.751,8134,989.2578125,77.1484375,-90.8203125,0.2871066619530672,-0.012217304763960306,-0.16859880574265224,-1237,-1686,-1230,3832,313,100645
12:55:4.782,8135,998.046875,83.984375,-90.8203125,0.10506882097005865,-0.04031710572106901,-0.11850785621041499,-1237,-1686,-1230,3832,313,100645
12:55:4.802,8136,1004.8828125,125.0,-86.9140625,-0.11239920382843484,-0.09040805525330627,-0.04642575810304917,-1237,-1686,-1230,3832,313,100645
12:55:4.822,8137,1013.671875,150.390625,-73.2421875,-0.20036379812894903,-0.09773843811168245,-0.020769418098732523,-1237,-1686,-1230,3832,313,100645
12:55:4.843,8138,1013.671875,139.6484375,-57.6171875,-0.19669860669976097,-0.0989601685880785,-0.025656340004316647,-1234,-1680,-1239,3832,313,100645
12:55:4.853,8139,1010.7421875,157.2265625,-65.4296875,-0.2223549467040776,-0.09162978572970232,-0.03543018381548489,-1234,-1680,-1239,3832,313,100645
12:55:4.874,8140,1005.859375,163.0859375,-74.21875,-0.2186897552748895,-0.0867428638241182,-0.014660765716752368,-1234,-1680,-1239,3832,313,100645
12:55:4.894,8141,999.0234375,151.3671875,-69.3359375,-0.2296853295624538,-0.0867428638241182,-0.006108652381980153,-1234,-1680,-1239,3826,313,100650
12:55:4.914,8142,990.234375,148.4375,-63.4765625,-0.2675589743307307,-0.0830776723949301,0.003665191429188092,-1234,-1685,-1225,3826,313,100650
12:55:4.935,8143,986.328125,170.8984375,-62.5,-0.33719761148530447,-0.0867428638241182,0.008552113334772215,-1234,-1685,-1225,3826,313,100650
12:55:4.945,8144,984.375,202.1484375,-61.5234375,-0.26267205242514663,-0.08063421144213802,0.013439035240356337,-1234,-1685,-1225,3826,313,100650
12:55:4.965,8145,985.3515625,193.359375,-61.5234375,-0.1478293876439197,-0.07330382858376185,-0.006108652381980153,-1234,-1685,-1225,3826,313,100650
12:55:4.986,8146,992.1875,158.203125,-66.40625,-0.1392772743091475,-0.06597344572538566,-0.009773843811168246,-1234,-1685,-1225,3826,313,100650
12:55:5.6,8147,996.09375,177.734375,-63.4765625,-0.2113593724165133,-0.07086036763096978,0.003665191429188092,-1231,-1680,-1231,3826,313,100650
12:55:5.16,8148,997.0703125,193.359375,-67.3828125,-0.24556782575560218,-0.06963863715457375,0.009773843811168246,-1231,-1680,-1231,3826,313,100650
12:55:5.57,8149,1001.953125,194.3359375,-61.5234375,-0.2235766771804736,-0.0635299847725936,-0.025656340004316647,-1231,-1680,-1231,3826,313,100650
12:55:5.77,8150,1000.0,200.1953125,-61.5234375,-0.22602013813326569,-0.06108652381980154,-0.03420845333908886,-1231,-1680,-1231,3826,313,100650
12:55:5.98,8151,991.2109375,191.40625,-75.1953125,-0.2162462943220974,-0.05497787143782139,-0.05009094953223726,-1231,-1680,-1231,3826,313,100650
12:55:5.108,8152,996.09375,192.3828125,-73.2421875,-0.2101376419401173,-0.07330382858376185,-0.04031710572106901,-1234,-1680,-1239,3826,313,100650
12:55:5.128,8153,1000.0,177.734375,-67.3828125,-0.2211332162276816,-0.06963863715457375,-0.04153883619746505,-1234,-1680,-1239,3826,313,100650
