Timestamp,Participant number,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55
03/11/2024 12:44:34,1,3,4,3,2,4,4,3,2,2,3,2,4,5,5,4,3,4,4,4,3,3,3,5,4,4,3,2,3,2,2,2,1,2,3,1,3,4,3,3,4,4,4,4,4,3,4,5,5,4,2,2,3,3,5
03/11/2024 12:50:19,2,3,2,4,2,4,5,4,4,4,4,5,5,4,3,4,3,4,5,5,5,5,4,5,5,1,3,2,2,3,2,4,3,4,4,4,4,3,3,3,3,3,4,2,1,1,2,3,3,4,3,3,3,4,4
03/11/2024 12:58:37,3,3,3,3,2,3,3,3,3,1,3,3,1,3,2,2,2,3,3,5,4,5,4,4,5,3,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,1,3,3,2,2,2,2,2,2,2
03/11/2024 13:04:38,4,4,4,5,4,5,5,1,1,3,2,2,1,3,1,5,1,3,5,4,4,5,3,5,5,2,2,2,1,3,1,4,2,4,3,2,5,3,4,4,3,4,3,2,2,3,1,3,2,1,1,2,1,1,1
03/11/2024 13:11:14,5,3,3,4,2,4,4,2,3,2,3,3,2,2,1,4,3,3,5,4,3,4,3,4,5,2,2,2,3,3,1,3,1,3,2,2,4,4,3,4,3,5,4,3,3,2,2,3,2,2,2,4,2,3,4
03/11/2024 13:17:20,6,2,1,4,1,3,3,3,4,1,3,4,2,3,3,5,3,4,4,4,4,5,4,4,4,2,3,2,2,4,2,3,1,3,2,2,3,4,3,4,3,5,4,4,4,1,4,4,2,3,2,3,2,2,4
03/11/2024 13:21:32,7,4,2,4,2,3,4,3,2,2,2,2,1,3,2,3,2,3,2,3,3,3,4,3,3,3,1,2,2,2,1,4,4,4,3,3,4,3,3,4,3,3,4,4,3,4,3,4,4,3,2,3,4,2,3
03/11/2024 13:27:33,8,4,3,3,3,5,3,1,2,1,2,4,1,3,2,2,3,3,3,3,4,3,4,5,4,2,2,3,3,3,3,3,3,3,4,4,3,3,2,3,3,4,2,4,3,3,4,5,3,1,2,1,2,3,1
03/11/2024 13:35:37,9,4,3,3,3,4,4,1,1,1,1,1,1,2,1,2,1,2,3,4,3,3,3,3,3,1,1,2,1,2,1,3,2,2,1,1,2,4,3,3,3,4,4,4,3,2,2,3,4,2,1,2,2,2,1
03/11/2024 13:42:13,10,2,2,3,2,3,3,2,3,3,4,4,4,3,3,3,2,3,3,4,4,4,3,3,4,2,2,1,1,4,1,3,2,4,3,4,4,4,2,5,4,3,5,2,3,2,2,3,1,2,2,3,2,3,2