"Timestamp","Participant number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024/11/03 12:44:33 pm CET","1","3","4","3","2","4","4","3","2","2","3","2","4","5","5","4","3","4","4","4","3","3","3","5","4","4","3","2","3","2","2","2","1","2","3","1","3","4","3","3","4","4","4","4","4","3","4","5","5","4","2","2","3","3","5"
"2024/11/03 12:50:18 pm CET","2","3","2","4","2","4","5","4","4","4","4","5","5","4","3","4","3","4","5","5","5","5","4","5","5","1","3","2","2","3","2","4","3","4","4","4","4","3","3","3","3","3","4","2","1","1","2","3","3","4","3","3","3","4","4"
"2024/11/03 12:58:37 pm CET","3","3","3","3","2","3","3","3","3","1","3","3","1","3","2","2","2","3","3","5","4","5","4","4","5","3","2","2","2","3","3","3","3","3","3","2","3","3","3","3","2","3","3","2","3","1","3","3","2","2","2","2","2","2","2"
"2024/11/03 1:04:37 pm CET","4","4","4","5","4","5","5","1","1","3","2","2","1","3","1","5","1","3","5","4","4","5","3","5","5","2","2","2","1","3","1","4","2","4","3","2","5","3","4","4","3","4","3","2","2","3","1","3","2","1","1","2","1","1","1"
"2024/11/03 1:11:13 pm CET","5","3","3","4","2","4","4","2","3","2","3","3","2","2","1","4","3","3","5","4","3","4","3","4","5","2","2","2","3","3","1","3","1","3","2","2","4","4","3","4","3","5","4","3","3","2","2","3","2","2","2","4","2","3","4"
"2024/11/03 1:17:20 pm CET","6","2","1","4","1","3","3","3","4","1","3","4","2","3","3","5","3","4","4","4","4","5","4","4","4","2","3","2","2","4","2","3","1","3","2","2","3","4","3","4","3","5","4","4","4","1","4","4","2","3","2","3","2","2","4"
"2024/11/03 1:21:32 pm CET","7","4","2","4","2","3","4","3","2","2","2","2","1","3","2","3","2","3","2","3","3","3","4","3","3","3","1","2","2","2","1","4","4","4","3","3","4","3","3","4","3","3","4","4","3","4","3","4","4","3","2","3","4","2","3"
"2024/11/03 1:27:33 pm CET","8","4","3","3","3","5","3","1","2","1","2","4","1","3","2","2","3","3","3","3","4","3","4","5","4","2","2","3","3","3","3","3","3","3","4","4","3","3","2","3","3","4","2","4","3","3","4","5","3","1","2","1","2","3","1"
"2024/11/03 1:35:36 pm CET","9","4","3","3","3","4","4","1","1","1","1","1","1","2","1","2","1","2","3","4","3","3","3","3","3","1","1","2","1","2","1","3","2","2","1","1","2","4","3","3","3","4","4","4","3","2","2","3","4","2","1","2","2","2","1"
"2024/11/03 1:42:13 pm CET","10","2","2","3","2","3","3","2","3","3","4","4","4","3","3","3","2","3","3","4","4","4","3","3","4","2","2","1","1","4","1","3","2","4","3","4","4","4","2","5","4","3","5","2","3","2","2","3","1","2","2","3","2","3","2"